,x,y
0,0.0,1.0
1,0.01,1.0224
2,0.02,1.0448
3,0.03,1.0672
4,0.04,1.0896
5,0.05,1.112
6,0.06,1.1344
7,0.07,1.1568
8,0.08,1.1792
9,0.09,1.2015
10,0.1,1.2239
11,0.11,1.2463
12,0.12,1.2686
13,0.13,1.2909
14,0.14,1.3132
15,0.15,1.3355
16,0.16,1.3577
17,0.17,1.38
18,0.18,1.4022
19,0.19,1.4244
20,0.2,1.4465
21,0.21,1.4687
22,0.22,1.4908
23,0.23,1.5129
24,0.24,1.5349
25,0.25,1.5569
26,0.26,1.5789
27,0.27,1.6008
28,0.28,1.6227
29,0.29,1.6445
30,0.3,1.6663
31,0.31,1.688
32,0.32,1.7097
33,0.33,1.7313
34,0.34,1.7529
35,0.35000000000000003,1.7744
36,0.36,1.7958
37,0.37,1.8172
38,0.38,1.8385
39,0.39,1.8598
40,0.4,1.8809
41,0.41000000000000003,1.902
42,0.42,1.9231
43,0.43,1.944
44,0.44,1.9649
45,0.45,1.9856
46,0.46,2.0063
47,0.47000000000000003,2.0269
48,0.48,2.0474
49,0.49,2.0678
50,0.5,2.0881
51,0.51,2.1083
52,0.52,2.1283
53,0.53,2.1483
54,0.54,2.1682
55,0.55,2.1879
56,0.56,2.2075
57,0.5700000000000001,2.227
58,0.58,2.2464
59,0.59,2.2656
60,0.6,2.2847
61,0.61,2.3037
62,0.62,2.3225
63,0.63,2.3412
64,0.64,2.3597
65,0.65,2.3781
66,0.66,2.3963
67,0.67,2.4144
68,0.68,2.4323
69,0.6900000000000001,2.4501
70,0.7000000000000001,2.4676
71,0.71,2.485
72,0.72,2.5023
73,0.73,2.5193
74,0.74,2.5362
75,0.75,2.5529
76,0.76,2.5693
77,0.77,2.5856
78,0.78,2.6017
79,0.79,2.6176
80,0.8,2.6333
81,0.81,2.6487
82,0.8200000000000001,2.664
83,0.8300000000000001,2.679
84,0.84,2.6938
85,0.85,2.7084
86,0.86,2.7228
87,0.87,2.7369
88,0.88,2.7508
89,0.89,2.7644
90,0.9,2.7778
91,0.91,2.791
92,0.92,2.8039
93,0.93,2.8165
94,0.9400000000000001,2.8289
95,0.9500000000000001,2.841
96,0.96,2.8528
97,0.97,2.8644
98,0.98,2.8757
99,0.99,2.8867
100,1.0,2.8974
101,1.01,2.9078
102,1.02,2.9179
103,1.03,2.9278
104,1.04,2.9373
105,1.05,2.9465
106,1.06,2.9554
107,1.07,2.9641
108,1.08,2.9723
109,1.09,2.9803
110,1.1,2.988
111,1.11,2.9953
112,1.12,3.0022
113,1.1300000000000001,3.0089
114,1.1400000000000001,3.0152
115,1.1500000000000001,3.0212
116,1.16,3.0268
117,1.17,3.032
118,1.18,3.0369
119,1.19,3.0415
120,1.2,3.0457
121,1.21,3.0495
122,1.22,3.053
123,1.23,3.056
124,1.24,3.0587
125,1.25,3.0611
126,1.26,3.063
127,1.27,3.0646
128,1.28,3.0657
129,1.29,3.0665
130,1.3,3.0669
131,1.31,3.0669
132,1.32,3.0665
133,1.33,3.0656
134,1.34,3.0644
135,1.35,3.0628
136,1.36,3.0607
137,1.37,3.0582
138,1.3800000000000001,3.0553
139,1.3900000000000001,3.052
140,1.4000000000000001,3.0483
141,1.41,3.0441
142,1.42,3.0395
143,1.43,3.0345
144,1.44,3.029
145,1.45,3.0231
146,1.46,3.0168
147,1.47,3.01
148,1.48,3.0028
149,1.49,2.9952
150,1.5,2.987
151,1.51,2.9785
152,1.52,2.9695
153,1.53,2.96
154,1.54,2.9501
155,1.55,2.9398
156,1.56,2.9289
157,1.57,2.9177
158,1.58,2.9059
159,1.59,2.8937
160,1.6,2.8811
161,1.61,2.868
162,1.62,2.8544
163,1.6300000000000001,2.8403
164,1.6400000000000001,2.8258
165,1.6500000000000001,2.8109
166,1.6600000000000001,2.7955
167,1.67,2.7796
168,1.68,2.7632
169,1.69,2.7464
170,1.7,2.7291
171,1.71,2.7113
172,1.72,2.6931
173,1.73,2.6745
174,1.74,2.6553
175,1.75,2.6357
176,1.76,2.6157
177,1.77,2.5951
178,1.78,2.5741
179,1.79,2.5527
180,1.8,2.5308
181,1.81,2.5085
182,1.82,2.4856
183,1.83,2.4624
184,1.84,2.4387
185,1.85,2.4145
186,1.86,2.3899
187,1.87,2.3649
188,1.8800000000000001,2.3394
189,1.8900000000000001,2.3134
190,1.9000000000000001,2.2871
191,1.9100000000000001,2.2603
192,1.92,2.233
193,1.93,2.2054
194,1.94,2.1773
195,1.95,2.1488
196,1.96,2.1198
197,1.97,2.0905
198,1.98,2.0607
199,1.99,2.0306
200,2.0,2.0
